Identification: H_W1	SN/TD: 542755/LKY-117	Firmware: FW1.13
Minimum value 10.185 mWS	Maximum value 10.191 mWS	Average value 10.189 mWS	Pressure_Type="rel"	
Time	Date	Pressure [mWS]	Temperature [°C]	Conductivity [mS/cm]	Counter [mm]	
10:13:29	09.09.2013	10.189			0.000
10:13:30	09.09.2013	10.189			0.000
10:13:31	09.09.2013	10.189			0.000
10:13:32	09.09.2013	10.189			0.000
10:13:33	09.09.2013	10.189			0.000
10:13:34	09.09.2013	10.189			0.000
10:13:35	09.09.2013	10.189			0.000
10:13:36	09.09.2013	10.189			0.000
10:13:37	09.09.2013	10.189			0.000
10:13:38	09.09.2013	10.189			0.000
10:13:39	09.09.2013	10.189			0.000
10:13:40	09.09.2013	10.189			0.000
10:13:41	09.09.2013	10.189			0.000
10:13:42	09.09.2013	10.190			0.000
10:13:43	09.09.2013	10.189			0.000
10:13:44	09.09.2013	10.189			0.000
10:13:45	09.09.2013	10.189			0.000
10:13:46	09.09.2013	10.190			0.000
10:13:47	09.09.2013	10.190			0.000
10:13:48	09.09.2013	10.189			0.000
10:13:49	09.09.2013	10.189			0.000
10:13:50	09.09.2013	10.189			0.000
10:13:51	09.09.2013	10.189			0.000
10:13:52	09.09.2013	10.189			0.000
10:13:53	09.09.2013	10.190			0.000
10:13:54	09.09.2013	10.189			0.000
10:13:55	09.09.2013	10.190			0.000
10:13:56	09.09.2013	10.190			0.000
10:13:57	09.09.2013	10.189			0.000
10:13:58	09.09.2013	10.189			0.000
10:13:59	09.09.2013	10.189			0.000
10:14:00	09.09.2013	10.189			0.000
10:14:01	09.09.2013	10.189			0.000
10:14:02	09.09.2013	10.189			0.000
10:14:03	09.09.2013	10.190			0.000
10:14:04	09.09.2013	10.189			0.000
10:14:05	09.09.2013	10.189			0.000
10:14:06	09.09.2013	10.189			0.000
10:14:07	09.09.2013	10.189			0.000
10:14:08	09.09.2013	10.190			0.000
10:14:09	09.09.2013	10.189			0.000
10:14:10	09.09.2013	10.189			0.000
10:14:11	09.09.2013	10.189			0.000
10:14:12	09.09.2013	10.190			0.000
10:14:13	09.09.2013	10.189			0.000
10:14:14	09.09.2013	10.189			0.000
10:14:15	09.09.2013	10.189			0.000
10:14:16	09.09.2013	10.189			0.000
10:14:17	09.09.2013	10.189			0.000
10:14:18	09.09.2013	10.190			0.000
10:14:19	09.09.2013	10.189			0.000
10:14:20	09.09.2013	10.190			0.000
10:14:21	09.09.2013	10.189			0.000
10:14:22	09.09.2013	10.189			0.000
10:14:23	09.09.2013	10.190			0.000
10:14:24	09.09.2013	10.190			0.000
10:14:25	09.09.2013	10.190			0.000
10:14:26	09.09.2013	10.190			0.000
10:14:27	09.09.2013	10.189			0.000
10:14:28	09.09.2013	10.190			0.000
10:14:29	09.09.2013	10.189			0.000
10:14:30	09.09.2013	10.190			0.000
10:14:31	09.09.2013	10.190			0.000
10:14:32	09.09.2013	10.189			0.000
10:14:33	09.09.2013	10.190			0.000
10:14:34	09.09.2013	10.189			0.000
10:14:35	09.09.2013	10.189			0.000
10:14:36	09.09.2013	10.189			0.000
10:14:37	09.09.2013	10.190			0.000
10:14:38	09.09.2013	10.189			0.000
10:14:39	09.09.2013	10.189			0.000
10:14:40	09.09.2013	10.189			0.000
10:14:41	09.09.2013	10.190			0.000
10:14:42	09.09.2013	10.189			0.000
10:14:43	09.09.2013	10.190			0.000
10:14:44	09.09.2013	10.189			0.000
10:14:45	09.09.2013	10.189			0.000
10:14:46	09.09.2013	10.190			0.000
10:14:47	09.09.2013	10.189			0.000
10:14:48	09.09.2013	10.189			0.000
10:14:49	09.09.2013	10.189			0.000
10:14:50	09.09.2013	10.190			0.000
10:14:51	09.09.2013	10.190			0.000
10:14:52	09.09.2013	10.189			0.000
10:14:53	09.09.2013	10.190			0.000
10:14:54	09.09.2013	10.189			0.000
10:14:55	09.09.2013	10.190			0.000
10:14:56	09.09.2013	10.189			0.000
10:14:57	09.09.2013	10.190			0.000
10:14:58	09.09.2013	10.189			0.000
10:14:59	09.09.2013	10.190			0.000
10:15:00	09.09.2013	10.189			0.000
10:15:01	09.09.2013	10.190			0.000
10:15:02	09.09.2013	10.189			0.000
10:15:03	09.09.2013	10.189			0.000
10:15:04	09.09.2013	10.189			0.000
10:15:05	09.09.2013	10.190			0.000
10:15:06	09.09.2013	10.189			0.000
10:15:07	09.09.2013	10.189			0.000
10:15:08	09.09.2013	10.189			0.000
10:15:09	09.09.2013	10.189			0.000
10:15:10	09.09.2013	10.190			0.000
10:15:11	09.09.2013	10.190			0.000
10:15:12	09.09.2013	10.189			0.000
10:15:13	09.09.2013	10.189			0.000
10:15:14	09.09.2013	10.190			0.000
10:15:15	09.09.2013	10.189			0.000
10:15:16	09.09.2013	10.189			0.000
10:15:17	09.09.2013	10.189			0.000
10:15:18	09.09.2013	10.189			0.000
10:15:19	09.09.2013	10.189			0.000
10:15:20	09.09.2013	10.190			0.000
10:15:21	09.09.2013	10.189			0.000
10:15:22	09.09.2013	10.190			0.000
10:15:23	09.09.2013	10.189			0.000
10:15:24	09.09.2013	10.189			0.000
10:15:25	09.09.2013	10.189			0.000
10:15:26	09.09.2013	10.189			0.000
10:15:27	09.09.2013	10.190			0.000
10:15:28	09.09.2013	10.189			0.000
10:15:29	09.09.2013	10.189			0.000
10:15:30	09.09.2013	10.190			0.000
10:15:31	09.09.2013	10.189			0.000
10:15:32	09.09.2013	10.189			0.000
10:15:33	09.09.2013	10.189			0.000
10:15:34	09.09.2013	10.189			0.000
10:15:35	09.09.2013	10.189			0.000
10:15:36	09.09.2013	10.189			0.000
10:15:37	09.09.2013	10.189			0.000
10:15:38	09.09.2013	10.189			0.000
10:15:39	09.09.2013	10.189			0.000
10:15:40	09.09.2013	10.189			0.000
10:15:41	09.09.2013	10.189			0.000
10:15:42	09.09.2013	10.190			0.000
10:15:43	09.09.2013	10.189			0.000
10:15:44	09.09.2013	10.189			0.000
10:15:45	09.09.2013	10.189			0.000
10:15:46	09.09.2013	10.189			0.000
10:15:47	09.09.2013	10.190			0.000
10:15:48	09.09.2013	10.189			0.000
10:15:49	09.09.2013	10.189			0.000
10:15:50	09.09.2013	10.189			0.000
10:15:51	09.09.2013	10.190			0.000
10:15:52	09.09.2013	10.190			0.000
